animal;животное
bear;нести
bee;пчела
bird;птица
cat;кот
chicken;курица
cow;корова
crocodile;крокодил
dog;собака
donkey;осел
duck;утка
elephant;слон
fish;рыба
frog;лягушка
giraffe;жираф
goat;коза
hippo;бегемот
horse;лошадь
jellyfish;медуза
lizard;ящерица
monkey;обезьяна
mouse/mice;мышь/мыши
pet;домашнее животное
polar bear;белый медведь
sheep;овца
snake;змея
spider;паук
tail;хвост
tiger;тигр
zebra;зебра
zoo;зоопарк
bat;летучая мышь
cage;клетка
dolphin;дельфин
fly;летать
kangaroo;кенгуру
kitten;котенок
lion;лев
panda;панда
parrot;попугай
penguin;пингвин
puppy;щенок
rabbit;кролик
shark;акула
snail;улитка
whale;кит
beetle;жук
butterfly;бабочка
camel;верблюд
creature;существо
dinosaur;динозавр
eagle;орёл
extinct;вымерший
fur;мех
insect;насекомое
nest;гнездо
octopus;осьминог
swan;лебедь
tortoise;черепаха
wild;дикий
wing;крыло
