to abandon;отказаться
absolute;абсолютный
academic;академический
to account;на счет
to accuse;обвинять
to acknowledge;признать
to acquire;приобретать
actual;фактический
to adapt;адаптироваться
additional;дополнительный
to address;обратиться
administration;администрация
to adopt;принять
advance;продвигаться
affair;дело
agency;агентство
agenda;повестка дня
aggressive;агрессивный
aid;помощь
aircraft;самолет
to alarm;тревожить
to alter;изменить
to amount;к сумме
anger;гнев
angle;угол
apparent;очевидный
apparently;по-видимому
appeal;призыв
approach;подход
appropriate;соответствующий
approval;одобрение
to arise;возникнуть
armed;вооружён
arms;руки
artificial;искусственный
artistic;художественный
aspect;вид
to assess;оценить
assessment;оценка
to associate;ассоциировать
associated;ассоциированный
association;ассоциация
to assume;предполагать
attempt;попытка
to back;обратно
bacteria;бактерии
to bar;бар
barrier;барьер
basically;в основном
to battle;в бой
to bear (deal with);иметь дело
beat;бить
to beg;умолять
being;быть
bent;согнутый
bet;ставка
to bill;выставлять счет
blame;винить
bond;связь
to border;на границу
breast;грудь
broadcast;транслировать
budget;бюджет
bullet;пуля
bunch;куча
burn;сжечь
bush;куст
but prep.;но приготовл.
to calculate;для расчета
cancer;рак
capable;способен
capacity;емкость
capture;захватить
cast;бросить
catch;поймать
cell;клетка
to chain;приковывать цепью
to chair;председательствовать
chairman;председатель
characteristic;характеристика
to chart;в диаграмму
chief;начальник
circumstance;обстоятельство
to cite;цитировать
citizen;гражданин
civil;гражданский
classic;классический
closely;тесно
collapse;рухнуть
combination;сочетание
command;команда
commission;комиссия
commitment;обязательство
committee;комитет
commonly;обычно
complex;сложный
component;компонент
concentration;концентрация
concept;понятие, концепция
concern;беспокоиться
concerned;обеспокоенный
conduct;вести
confidence;уверенность
conflict;конфликт
conscious;сознательный
conservative;консервативный
consideration;рассмотрение
consistent;последовательный
constant;константа
constantly;постоянно
to construct;построить
construction;конструкция
contemporary;современный
to contribute;внести свой вклад
contribution;вклад
to convert;преобразовать
convinced;убежден
core;ядро
corporate;корпоративный
council;совет
county;графство
creation;создание
to credit;кредитовать
crisis;кризис
criterion;критерий
critic;критик
critical;критический
criticism;критика
to criticize;критиковать
crucial;решающий
current;текущий
curve;кривая
curved;изогнутый
debate;дискуссия
debt;долг
decent;приличный
decline;отклонить
decoration;украшение
deeply;глубоко
deliberate;преднамеренный
deliberately;намеренно
delight;восторг
to demonstrate;продемонстрировать
to deny;отрицать
depressing;удручающий
depth;глубина
to desert;дезертировать
desire;желание
desperate;отчаянный
to detail;к деталям
detailed;подробный
to detect;обнаружить
disc;диск
discipline;дисциплина
to discount;дисконтировать
dishonest;нечестный
to dismiss;уволить
to distribute;распространять
distribution;распределение
divide;делить
division;деление
to document;документировать
domestic;отечественный
to dominate;доминировать
downwards;вниз
draft;черновик
to drag;тащить
dramatic;драматический
to edit;редактировать
edition;издание
to elect;избирать
elsewhere;в другом месте
to emerge;появляться
emotional;эмоциональный
emphasis;ударение
to emphasize;подчеркнуть
to enable;чтобы включить
encounter;встреча
to engage;заниматься
to enhance;для улучшения
to ensure;чтобы гарантировать
enthusiasm;энтузиазм
enthusiastic;восторженный
entire;весь
entirely;полностью
to establish;установить
estate;поместье
estimate;оценить
ethical;этичный
to evaluate;оценить
even;даже
evil;зло
examination;экзамен
executive;исполнительный
existence;существование
expectation;ожидание
expense;расход
exploration;исследование
to expose;выставлять напоказ
to extend;продлить
extent;степень
external;внешний
extreme;крайний
facility;средство
failure;неудача
faith;вера
to favour;в пользу
feather;перо
feed;кормить
feedback;обратная связь
fellow;парень
to figure;чтобы понять
to file;в файл
finance;финансы
finding;нахождение
firm;фирма
fix;исправить
flame;пламя
flash;вспышка
flexible;гибкий
fold;складывать
folding;складывание
fortune;удача
to found;найти
to free;освободить
freedom;свобода
frequency;частота
to fuel;для топлива
to function;функционировать
fund;фонд
fundamental;фундаментальный
funding;финансирование
furthermore;более того
gain;получить
gang;банда
to generate;генерировать
genre;жанр
to govern;управлять
to grab;схватить
to grade;оценивать
gradually;постепенно
grant;предоставить
guarantee;гарантировать
harm;вредить
harmful;вредный
hearing;слушание
heaven;небеса
hell;черт возьми
to hesitate;колебаться
hire;прокат,аренда
to hire;нанимать,нанять
hold;держать
hollow;полый
holy;святой
honour;честь
to host;принимать гостей
to house;в дом
household;домохозяйство
housing;жилье
humorous;юмористический
humour;юмор
to hunt;охотиться
hunting;охота,охотничий
ideal;идеальный
to illustrate;проиллюстрировать
illustration;иллюстрация
impatient;нетерпеливый
to imply;подразумевать
to impose;навязывать
to impress;произвести впечатление
impressed;впечатлен
incident;инцидент
income;доход
increasingly;все больше и больше
industrial;промышленный
infection;инфекция
initial;начальная
initially;изначально
initiative;инициатива
inner;внутренний
insight;понимание
to inspire;вдохновлять
instance;пример
institute;институт
institution;учреждение
insurance;страхование
intended;намеревался
intense;интенсивный
internal;внутренний
to interpret;интерпретировать
investigation;расследование
investment;инвестиции
to issue;выдавать
joy;радость
judgement;суждение
junior;младший
justice;справедливость
to justify;чтобы оправдать
labour;труд
largely;в значительной степени
launch;запустить
leadership;лидерство
to lean;наклоняться
to level;выравнивать
limited;ограниченный
to line;в линию
logical;логический
long-term;долгосрочный
lord;господин
to lower;понизить
lung;легкое
