ability;способность
able;способен
about;около (около 500 студентов)
above;выше
absent;отсутствует
absolutely;абсолютно (Фильм был абсолютно ужасен)
accent;акцент (У нее прекрасный французский акцент)
to accept;принять
acceptable;приемлемо
access;доступ (доступ для инвалидов, доступ в Интернет, легкий доступ к центру города)
to accompany;сопровождать
according to;в соответствии с
account;счет
accountant;бухгалтер
accurate;точный
to achieve;достичь,добиваться
achievement;достижение
to act;играть (играть в пьесе, перестать вести себя как ребенок)
act;действие (во втором действии)
action;действие
active;активный
activity;деятельность
actually;на самом деле (но на самом деле она очень милая)
advertisement;реклама
addition;дополнение (в дополнение)
to admire;восхищаться
admission;допуск
to admission;к приему,к поступлению (плата/стоимость/цена допуска)
to admit;признать
adult;взрослый
advance;заранее (бронировать заранее)
advanced;продвинутый
advantage;преимущество
advert;объявление
tp advertise;рекламировать
advertisement;реклама
advice;совет
to advise;советовать
aeroplane;самолет
to affect;влиять
to afford;позволить себе
afraid;боюсь
afternoon;после полудня
afterwards;после
against;против
aged;в возрасте
agency;агентство (туристическое агентство)
ages;целую вечность (Автобусу потребовалась целая вечность, чтобы прибыть)
ahead;вперед
aim;цель
to aim;прицеливаться
air force;военно воздушные силы
alarm;тревога
album;альбом
alike;похожий
alive;живой
all right/alright;все в порядке
to allow;разрешить
almost;почти
along;вдоль
aloud;вслух
although;хотя
altogether;в целом
amazed;поражен
ambition;амбиция
among;среди
amount;количество
amusing;забавный
ancient;древний
anniversary;годовщина
to announce;объявить
to annoy;раздражать
annual;ежегодный
answerphone;автоответчик
ant;муравей
anxious;встревоженный
anybody;кто-либо
anymore;больше
anyway;в любом случае
apart;врозь
apart from;кроме, помимо
apartment building;многоквартирный дом
to apologise;извиниться
apology;извинение
app;приложение (загрузите приложение на свой телефон)
appearance;появление
application;заявление (заявление о приеме на работу, бланк заявления)
to apply;применять
to approach;подходить
to approve;одобрить
approximately;приблизительно
architecture;архитектура
area;область
to argue;спорить
argument;аргумент
to arrange;устроить
arrangement;расположение
to arrest;арестовать
article;артикль
ashamed;стыдно
asleep;спит
as long as;до тех пор, пока
to assist;чтобы помочь
as well (as);а также (как)
at all;вообще
at first;сначала
at last;наконец
at least;по крайней мере
atmosphere;атмосфера
at once;сразу
at present;в настоящее время
to attach;прикрепить
attack;атака
to attack;атаковать
to attempt;попытаться
to attend;присутствовать
attention;внимание
at the same time;в то же время
attitude;отношение
to attract;привлекать
attraction;притяжение
attractive;привлекательный
audience;аудитория
author;автор
available;доступен
average;средний
to avoid;избегать
awake;проснуться
awesome;потрясающе
awful;ужасно
to babysit;нянчиться
background;фон
background;фон (опыт в продажах)
backwards;в обратном порядке
badly;плохо
baker;пекарь
bald;лысый
ballet;балет
balloon;воздушный шар
band;группа
bank account;банковский счет
banking;банковское дело
bar;бар
basic;базовый
basket;корзина
to bath;купаться
bathtub;ванна
battery;батарея
battle;битва
bay;залив
to beat;бить
beautiful;красивый
beauty;красота
because of;из-за
to become;стать
bee;пчела
beef;говядина
before;перед
beginner;начинающий
beginning;начало
to behave;вести себя
behaviour;поведение
behind;позади
to belong;принадлежать
below;ниже
beneath;под
benefit;выгода
to benefit;чтобы принести пользу
be over;закончено (Игра окончена – вы опоздали!)
beside;рядом
besides;кроме того
bestseller;бестселлер
better;лучше
beyond;за пределами
bill;счет (счет за электричество)
biography;биография
biology;биология
birth;рождение
to bite;кусать
blackboard;доска
to blame;винить
blank;пустой (чистый лист бумаги)
block;блок (Пройдемся вокруг блока, многоквартирный дом)
blog;блог
blogger;блоггер
to blow;дуть
bold;жирный
bomb;бомба
to bomb;бомбить
to book;забронировать
booking;бронирование (У меня бронирование на 19 число.)
booking office;касса
bookstore (UK bookshop);книжный магазин
boot;ботинок (пара ботинок)
boring;скучно
born;родился
both;оба
to bother;беспокоить (Извините за беспокойство. Не беспокойтесь!)
boyfriend;парень
brake;тормоз
to brake;тормозить
branch;ветвь
brand new;совершенно новый
brave;храбрый
