to absorb;поглощать
abstract;абстрактный
accent;ударение
accidentally;случайно
to accommodate;для размещения
to accomplish;для достижения
accountant;бухгалтер
accuracy;точность
accurately;точно
acid;кислота
to activate;активировать
addiction;зависимость
additionally;дополнительно
adequate;адекватный
adequately;адекватно
to adjust;настроить
affordable;доступный
agriculture;сельское хозяйство
alongside prep.;наряду с предл.
altogether;в целом
amusing;забавный
analyst;аналитик
ancestor;предок
animation;анимация
annually;ежегодно
to anticipate;предвидеть
anxiety;беспокойство
apology;извинение
applicant;заявитель
appropriately;надлежащим образом
arrow;стрелка
artwork;произведение искусства
aside;в сторону
asset;актив
to assign;назначить
assistance;помощь
assumption;предположение
to assure;гарантировать
astonishing;удивительный
attachment;вложение
auction;аукцион
audio;аудио
automatic;автоматический
automatically;автоматически
awareness;осознание
awkward;неловко
badge;значок
balanced;сбалансированный
ballet;балет
balloon;воздушный шар
barely;едва
bargain;торговаться
basket;корзина
beneficial;полезный
besides;кроме того
bias;предвзятость
bid;ставка
biological;биологический
blow;дуть
bold;жирный
bombing;бомбить
booking;бронирование
boost;усилить
bound;связан
brick;кирпич
briefly;кратко
broadcaster;вещатель
broadly;в широком смысле
bug;ошибка
carbon;углерод
casual;случайный
cave;пещера
certainty;уверенность, определенность
certificate;сертификат
challenging;сложный
charming;очаровательный
chase;преследовать
cheek;щека
cheer;ура
choir;хор
to chop;рубить
circuit;схема
civilization;цивилизация
to clarify;прояснить
to classify;классифицировать
clerk;клерк
cliff;обрыв
clinic;клиника
clip;клип
coincidence;совпадение
collector;коллекционер
colony;колония
colourful;красочный
commander;командир
comparative;сравнительная степень
completion;завершение
to compose;сочинять
composer;композитор
compound;соединение
comprehensive;всеобъемлющий
to comprise;включать в себя
compulsory;обязательно
concrete;конкретный
to confess;признаться
confusion;путаница
consequently;следовательно
conservation;сохранение
considerable;значительный
considerably;значительно
consistently;последовательно
conspiracy;заговор
to consult;проконсультироваться
consultant;консультант
consumption;потребление
controversial;спорный
controversy;полемика
convenience;удобство
convention;соглашение
conventional;обычный
to convey;передать
convincing;убедительный
to cope;чтобы справиться
corporation;корпорация
corridor;коридор
counter;прилавок (длинная плоская поверхность)
coverage;охват
crack;трещина
craft;ремесло
creativity;креативность
critically;критически
cruise;круиз
cue;реплика
curious;любопытный
curriculum;учебная программа
cute;милый
dairy;молочный
to dare;осмелиться
darkness;тьма
database;база данных
deadline;крайний срок
deadly;смертельный
dealer;дилер
deck;колода
defender;защитник
to delete;удалить
democracy;демократия
democratic;демократический
demonstration;демонстрация
to depart;отходить
dependent;зависимый
deposit;депозит
depression;депрессия
to derive;выводить
desperately;отчаянно
destruction;разрушение
determination;определение
to devote;посвящать
to differ;отличаться
disability;инвалидность
disabled;отключен
disagreement;несогласие
to disappoint;разочаровывать
disappointment;разочарование
to discourage;обескураживать
disorder;расстройство
distant;далекий
distinct;отдельный
to distinguish;различать
to distract;отвлекать
to disturb;беспокоить
dive;нырять
diverse;разнообразный
diversity;разнообразие
divorce;развод
dominant;доминантный
donation;пожертвование
dot;точка
downtown;центр города
dramatically;драматично
drought;засуха
dull;скучный
to dump;сбрасывать
duration;длительность
economics;экономика
economist;экономист
editorial;редакционная статья
efficiently;эффективно
electronics;электроника
elegant;элегантный
elementary;элементарный
to eliminate;устранить
to embrace;обнимать
emission;эмиссия
emotionally;эмоционально
empire;империя
enjoyable;приятный
entertaining;развлекательный
entrepreneur;предприниматель
to equip;оснащать
equivalent;эквивалент
era;эра
to erupt;извергаться
essentially;по существу
ethic;этика
ethnic;этнический
evaluation;оценка
evident;очевидно
evolution;эволюция
to evolve;развиваться
to exceed;превзойти
exception;исключение
excessive;чрезмерный
to exclude;исключить
exhibit;экспонат
exit;выход
exotic;экзотический
expansion/extension;расширение
expertise;экспертиза
to exploit;эксплуатировать
exposure;воздействие
extensive;обширный
extensively;экстенсивно
extract;извлечь
fabric;ткань
fabulous;сказочный
failed;провалился
fake;поддельный
fame;слава
fantasy;фантазия
federal;федеральный
firework;фейерверк
firm;фирма
firmly;твёрдо
fond;любить
fool;дурак
to forbid;запрещать
forecast;прогноз
format;формат
formation;образование
formerly;раньше
fortunate;повезло
forum;форум
fossil;ископаемое
foundation;фундамент
founder;основатель
fraction;дробь
fragment;фрагмент
framework;фреймворк
fraud;мошенничество
freely;свободно
frequent;частый
to fulfil;выполнить
